Position,Location,Type,Posted_Date,Description,Apply_Link
Application Development Senior Advisor T5,"Hyderabad, Andhra Pradesh",Permanent,28/01/2025 2:04:07 PM,"About Evernorth: Evernorth Health Services, a division of The Cigna Group (NYSE: CI), creates pharmacy, care, and benefits solutions to improve health and increase vitality. We relentlessly innovate to make the prediction, prevention, and treatment of illness and disease more accessible to millions of people. Application Development Lead Analyst Position Overview: The Application Development Lead Analyst provides advanced professional input to complex Engineering assignments/projects. Under guidance, designs and develops a consolidated, conformed enterprise data warehouse and data lake which...  more ->",https://jobserve.com//in/en/find-jobs-in-India/APPLICATION-DEVELOPMENT-SENIOR-ADVISOR-T5-DDABB1931582A4884B/
QE Specialist - Hybris & API Testing,"Chennai, Tamil Nadu",Permanent,28/01/2025 2:04:07 PM,"QE Specialist - Hybris & API Testing Experience: 3 to 7 years Location: Chennai Notice Period: Immediate to 15 days Job Description: 3 -6 years' experience in Quality Assurance of web applications, Mobile application, and E-commerce application testing. Good to have at least 3 years of experience testing across a wide range of eCommerce domains with equivalent to technology platform like SAP Commerce Cloud (Hybris) Expertise in exploratory testing of web-based applications and ability to understand the application architecture Expert level knowledge of Backoffice, Smart edit, HAC Expertise in...  more ->",https://jobserve.com//in/en/find-jobs-in-India/QE-SPECIALIST-HYBRIS-API-TESTING-9E4540F95260C9E26C/
Financial Analyst- Contract to Billing,"Gurgaon, Haryana",Permanent,28/01/2025 2:04:06 PM,"Hello Folks, Urgent Hiring for Financial Analyst- Billing role, Night Location with 5 Days work from office and Both sides Cab. Company Name- Trueblue India Position Name- Financial Analyst- Contract to Billing Location- Gurgaon Sec- 48 Experience- 1- 3 years CTC- Upto 5.50 LPA Shift Mode- Night Shifts (5:00 PM- 2:00 AM) 5 Days work from office + Both Sides Cab Interested candidates can please reach out to HR - Divya Kalra/Saloni Sabharwal Contact No. - Email ID -/ Role & Responsibilities: Manage and maintain customer contracts, ensuring accurate bill rate/pay rate changes and addressing...  more ->",https://jobserve.com//in/en/find-jobs-in-India/FINANCIAL-ANALYST-CONTRACT-TO-BILLING-970FB7D7973E227489/
Senior Marketing Data Analyst T3,"Bangalore, Karnataka",Permanent,28/01/2025 2:04:04 PM,"About Smith & Howard: Founded over half a century ago, on the guiding vision of Jim Howard and Joe Smith, Smith + Howard has grown into a family of companies serving clients across the globe through our tax, accounting and advisory solutions. The company has been dedicated to empowering businesses and individuals to achieve their financial goals through their personal and responsive client service. Smith + Howard is proud to have helped countless entrepreneurs find success and build thriving businesses. At Smith + Howard's integrated Indian hub in Bengaluru, Smith + Howard Advisory LLC, is...  more ->","https://jobserve.com//in/en/search-jobs-in-Bangalore,-Karnataka,-India/SENIOR-MARKETING-DATA-ANALYST-T3-ACAE3A48589323FF92/"
Performance Marketing Executive,"Noida, UTTAR PRADESH",Permanent,28/01/2025 2:04:05 PM,"Job Overview We are seeking highly skilled and results-driven Performance Marketing Executive to join our team at . The ideal candidates will have strong expertise in Meta Ads (Facebook, Instagram) and Google Ads (Search, Display, YouTube) with a proven ability to drive performance and optimize campaigns for maximum ROI. Key Responsibilities Campaign Management : Plan, execute, and optimize performance marketing campaigns across Meta Ads and Google Ads platforms. Audience Targeting : Identify and target the right audience segments to maximize reach and conversions. Ad Creative Collaboration :...  more ->",https://jobserve.com//in/en/find-jobs-in-India/PERFORMANCE-MARKETING-EXECUTIVE-0564BD56DD6D2809D7/
Application Development Senior Manager T4,"Hyderabad, Andhra Pradesh",Permanent,28/01/2025 2:04:05 PM,"About Evernorth: Evernorth Health Services, a division of The Cigna Group (NYSE: CI), creates pharmacy, care, and benefits solutions to improve health and increase vitality. We relentlessly innovate to make the prediction, prevention, and treatment of illness and disease more accessible to millions of people. Responsibilities: Lead a team of analysts, developers in triaging customer reported issues and monitoring/maintaining critical web/mobile applications Candidates will have hands on experience in handling distributed systems Candidates should have experience with maintaining...  more ->",https://jobserve.com//in/en/find-jobs-in-India/APPLICATION-DEVELOPMENT-SENIOR-MANAGER-T4-D24A50048EAF195B94/
Fixed Income Credit Analyst,"Mumbai, Maharashtra",Permanent,28/01/2025 2:04:03 PM,"About the job Alpha Alternatives is a multi-asset class alternatives asset management platform based out of India and Singapore, with over 12000 crores of assets under management, and deep focus on Alpha generation. We are passionate about finding alternative investment opportunities that can deliver superior risk-return characteristics. We operate across various alternative spaces like Equities, Commodities, Absolute Returns, Structured Credit, Fixed Income, Quant, and Infrastructure. Our products span across various investment structures such as NBFC (ND-SI), AIF (Cat II & III), PMS, RIA...  more ->","https://jobserve.com//in/en/search-jobs-in-Mumbai,-Maharashtra,-India/FIXED-INCOME-CREDIT-ANALYST-A7C00BEA67516E8DCD/"
Senior IT Recruiter (US Staffing) Chennai/Night Shift (2 to 6 Yrs Exp,"Chennai, Tamil Nadu",Permanent,28/01/2025 2:04:02 PM,"Job Title: US IT Recruiter Job Type: Onsite - Full Time (WFO) Location: Chennai-Ticel Bio Park Shift: EST Timings (7 pm to 4 am IST - Night Shift) Experience : 2-6 yrs Immediate Joiners preferred Job Description: Engage with recruiting managers to understand and qualify job positions, ensuring alignment with technical and business needs. Source and identify candidates through various platforms, including Dice, Monster, CareerBuilder, LinkedIn and Social Media Platform Conduct in-depth interviews to evaluate technical skills, qualifications, and fitment for IT specific roles. Manage the...  more ->",https://jobserve.com//in/en/find-jobs-in-India/SENIOR-IT-RECRUITER-US-STAFFING-CHENNAI-NIGHT-SHIFT-2-TO-6-YRS-EXP-2E42A4DC72072D13F8/
Hindi Teacher,"Islampur, West Bengal",Permanent,28/01/2025 2:04:03 PM,"Location: Mount Litera Zee School, Islampur (Near Siliguri) Salary: Up to 30,000 (based on experience) Accommodation: Provided for outstation candidates Qualifications: Educational Qualification: Bachelor's/Master's degree in Hindi with a B.Ed. Experience: Prior teaching experience preferred, but freshers with strong subject knowledge are welcome. more ->",https://jobserve.com//in/en/find-jobs-in-India/HINDI-TEACHER-76B82B798E77464A6A/
SAP ARIBA CIG,"Hyderabad, Andhra Pradesh",Permanent,28/01/2025 2:04:07 PM,"TCS presents an excellent opportunity for SAP ARIBA CIG Experience Range : 4-8 Loc- Che/Hyd JD Develop and maintain a robust integration framework between S4 and Ariba Procurement SLP, Sourcing & Contract, Commerce automation ensuring the accurate and timely exchange procurement data (Order, Order Confirmation, GR & Invoices) Supports customer during testing by troubleshooting potential issues. Owns resolution and escalation of SAP Ariba-side issues. Perform CIG technical configuration (Create projects, system ID, End point routing), Doc routing etc. Experience to deliver projects for...  more ->",https://jobserve.com//in/en/find-jobs-in-India/SAP-ARIBA-CIG-EF03C1DDCFA6B4C64D/
Senior Software Engineer - IIT/NIT,"Hyderabad, Andhra Pradesh",Permanent,28/01/2025 2:04:06 PM,"Job role: Sr. Software Engineer Location: Hyderabad Educational Qualification: B Tech/MS/Ph.D. in Computer Science, Mathematics, Statistics, Machine Learning, AI or equivalent Experience: 2-5 years of hands-on experience in software development for enterprise-level/consumer applications Job Description: The candidate will lead a team of software engineers to develop our flagship Automated data processing platform with a microservice-based architecture which is to be deployed in large enterprises Key Competencies and Skills desired: - Extensive experience and proficiency in programming with...  more ->",https://jobserve.com//in/en/find-jobs-in-India/SENIOR-SOFTWARE-ENGINEER-IIT-NIT-21581F7CE155624BBF/
Graphic Designer,"Ahmedabad, Gujarat",Permanent,28/01/2025 2:04:02 PM,"Position: Jr. Graphic Designer Salary: 3 to 3.5 LPA Location: Ahmedabad (On-site) Experience Level: 1-2 years About the Role Are you ready to take your career to the next level? We are looking for a talented and driven Graphic Designer with 1-2 years of experience to join our global team. This is your chance to work on exciting international projects and be part of a creative environment that will challenge and inspire you. If you've been waiting for an opportunity to make an impact on the global stage, this is it! Key Responsibilities Create stunning visuals for international digital and...  more ->",https://jobserve.com//in/en/find-jobs-in-India/GRAPHIC-DESIGNER-FF428CA73359A5745F/
Google Workspace Technical Engineer,"Chennai, Tamil Nadu",Permanent,28/01/2025 2:04:08 PM,"WPP is the creative transformation company. We use the power of creativity to build better futures for our people, planet, clients, and communities. Working at WPP means being part of a global network of more than 115,000 accomplished people in 110 countries. WPP has headquarters in New York, London and Singapore and a corporate presence in major markets worldwide. We create transformative ideas and outcomes for our clients through an integrated offer of communications, experience, commerce, and technology. WPP and our award-winning agencies work with most of the world's biggest companies and...  more ->",https://jobserve.com//in/en/find-jobs-in-India/GOOGLE-WORKSPACE-TECHNICAL-ENGINEER-E11F0BD139423E322B/
IB/IGCSE English Tutor,Delhi,Permanent,28/01/2025 2:04:05 PM,"About Us: Gradeperfect is an IIT Alumni Led organisation that uniquely empowers K-12 students in STEM through its 1:1 programs for IB, IGCSE, AP and other Test preparation. We are committed to delivering exceptional educational support to learners around the globe Position Overview: We are looking for a dedicated and enthusiastic IB/IGCSE Language and Literature Tutor to join our vibrant team. The ideal candidate will possess a deep understanding of English literature and language, coupled with a knack for engaging students in analytical and creative thinking. This position offers the...  more ->",https://jobserve.com//in/en/find-jobs-in-India/IB-IGCSE-ENGLISH-TUTOR-E3E46DDC4B3958833D/
Infrastructure Engineering Senior Advisor T1,"Hyderabad, Andhra Pradesh",Permanent,28/01/2025 2:04:06 PM,"About Evernorth: Evernorth Health Services, a division of The Cigna Group (NYSE: CI), creates pharmacy, care, and benefits solutions to improve health and increase vitality. We relentlessly innovate to make the prediction, prevention, and treatment of illness and disease more accessible to millions of people. Responsibilities: The technology organization relies on the Operational Readiness and SRE Enablement team to understand the needs of S/W and Infrastructure Engineering teams to effectively and efficiently build, deploy, and operate a platform through all phases of its software delivery...  more ->",https://jobserve.com//in/en/find-jobs-in-India/INFRASTRUCTURE-ENGINEERING-SENIOR-ADVISOR-T1-84D2D86E38DB71D9BE/
Business Development Manager,Karnataka,Permanent,28/01/2025 2:04:06 PM,"Who are we? Superset is India's largest University Recruitment Platform - a placement automation tool for universities and a digital campus hiring platform for employers. Our team is dedicated towards leveraging the technology to solve all the challenges and problems you could think of during a typical placement season. We are a Blume Ventures backed startup (exited 2022), backed by Great Learning and BYJU's, simplifying the graduate recruitment market in India by connecting students and employers via on-campus placement cells. At present, we work with 400+ colleges and 1800+ recruiters in...  more ->","https://jobserve.com//in/en/search-jobs-in-Karnataka,-India/BUSINESS-DEVELOPMENT-MANAGER-1D385F888D5D3A0FFB/"
Instructor Teaching Assistant,"Ranchi, Jharkhand",Permanent,28/01/2025 2:04:06 PM,"About Us: At Digital Alchemist Labs (DAL), we are pioneers in building innovative programs to train the next generation of AI professionals. As part of Phase 2, we are launching Bootcamps on Multi-Agent AI Systems and Full Stack Web Development with AI, and we're looking for dynamic individuals to join our team as Instructor & Teaching Assistants . Role Overview: This hybrid role combines course instruction for recorded modules and teaching assistance during live Q&A sessions . It's perfect for someone passionate about teaching, collaborating with a team, and contributing to cutting-edge...  more ->",https://jobserve.com//in/en/find-jobs-in-India/INSTRUCTOR-TEACHING-ASSISTANT-849F978ADC744A0D48/
Polyol (PU House) Chemical Sales Executive,Delhi,Permanent,28/01/2025 2:04:04 PM,"Company Description MOKA GROUP is a renowned Importer & Distributor of Chemicals, engaged in stocking and distribution of a wide range of bulk chemicals. They focus on international sourcing and supply of raw materials and intermediaries, representing large and reputed overseas manufacturers. With efficient marketing, sales, technical support, and R&D teams, the company aims to provide quality products and services for customer satisfaction. Role Description This is a Full time on-site role for a Polyol (PU House) Chemical Sales Executive located in New Delhi. The Sales Executive will be...  more ->",https://jobserve.com//in/en/find-jobs-in-India/POLYOL-PU-HOUSE-CHEMICAL-SALES-EXECUTIVE-5C081B3F2CE3565C34/
Lead Analyst/Manager - Generic Research,"Gurgaon, Haryana",Permanent,28/01/2025 2:04:08 PM,"Elevate Your Impact Through Innovation and Learning Evalueserve is a leading global company that develops innovative and sustainable solutions for a wide range of clients, including more than 30% of the Fortune 500 companies. With a presence in more than 45 countries across five continents, we excel in leveraging state-of-the-art technology, domain-specific AI solutions, and deep subject matter expertise to elevate our clients' strategic decision-making and business impact. Our clients include Amazon, Deutsche Bank, Johnson & Johnson, McDonald's, Microsoft, Morgan Stanley, Nestle, Novo...  more ->",https://jobserve.com//in/en/find-jobs-in-India/LEAD-ANALYST-MANAGER-GENERIC-RESEARCH-5EC7F3F0EE60B62F36/
Data Engineer,"Chennai, Tamil Nadu",Permanent,28/01/2025 2:04:05 PM,"Job Title: Data Engineer Experience: 3+ Years data pipelines experience Location: Chennai Work type: Hybrid Job Type: Full-time Key Responsibilities: Python Proficiency: Demonstrate a strong command of Python programming language, actively contributing to the development and maintenance of data engineering solutions. Data Engineering Expertise: Set up and maintain efficient data pipelines, ensuring smooth data flow and integration across systems. Experience with PySpark and/or Data Bricks platform is required. Contribute to the establishment and maintenance of Data Lakes, implementing...  more ->",https://jobserve.com//in/en/find-jobs-in-India/DATA-ENGINEER-640C955D9C33500688/
Anaplan - Manager/Senior Manager,Maharashtra,Permanent,28/01/2025 2:04:05 PM,"Experience - 10+years Roles and Responsibilities: Must have Modelling experience in ANAPLAN projects, including implementations, upgrades, roll outs and/or support. Comfortable with creating Model, Modules, Lists, Line Items, Subsets, Line Item Subsets, Usage of Calculation functions and dashboards using best practices. Been introduced or worked with Anaplan Optimizer, Integration methods and ALM within Anaplan. Ability to have direct discussions with clients to understand their needs and then design, develop, maintain and elaborate planning models. Anaplan Solution Architect Certification or...  more ->","https://jobserve.com//in/en/search-jobs-in-Maharashtra,-India/ANAPLAN-MANAGER-SENIOR-MANAGER-030A280F5F81D1FC53/"
Consumer Business Analyst (Domain Specialist),Maharashtra,Permanent,28/01/2025 2:04:06 PM,Title : Consumer Business Analyst with Domain Exp : 5+yrs Location : Pune Email ID : The job description you shared outlines a role for a Consumer Business Analyst with a focus on the e-commerce domain. Below is a quick overview of the key elements of the position: Key Responsibilities: Client Engagement & Requirements Gathering : Working closely with clients to identify business challenges and E-commerce needs. Developing project briefs aligned with client objectives. Workshop Facilitation : Leading sessions with stakeholders to gather requirements. Using facilitation techniques like...  more ->,"https://jobserve.com//in/en/search-jobs-in-Maharashtra,-India/CONSUMER-BUSINESS-ANALYST-DOMAIN-SPECIALIST-5A402FB1922F4262C6/"
Healthcare Recruiter,"Noida, UTTAR PRADESH",Permanent,28/01/2025 2:04:08 PM,"Duration: Full Time Job Description: We are hiring at US Tech Solutions, inviting applications for several positions in US Staffing domain. - E-commerce Client - Background - Medical Representatives (MR), with strong closures and an active database. - 1+year of relevant experience required - Shift - PST Responsibilities: Responsible for handling different types of requirements - IT/Business Professional/Banking-Financial/Social-Media/Creative Roles/Defense/Pharma/Aerospace/Engineering/Telecom/Semiconductor/Utility/Oil & Gas/Energy from US Direct Clients on W2 roles (MSP/VMS knowledge)....  more ->",https://jobserve.com//in/en/find-jobs-in-India/HEALTHCARE-RECRUITER-258B41AB1D92E47043/
Marketing & Sales Assistant Manager,Maharashtra,Permanent,28/01/2025 2:04:07 PM,"About the organization: Globestar Edutech Pvt Ltd. is a group Company that includes TNI Career Counseling (TCC) and Globestar Consulting Services (GCS). TCC provides premium career and admissions advisory for both individuals and institutions, counseling 2500+ students a year grades 9-12 for activities and admissions to 12+ countries. GCS offers market entry, enrollment management, recruiting, training, curriculum building, technology, and other solutions to institutions. The company is headquartered in BKC Mumbai, with branches in Pune, Bangalore, and Delhi. Job Overview: We are seeking a...  more ->","https://jobserve.com//in/en/search-jobs-in-Maharashtra,-India/MARKETING-SALES-ASSISTANT-MANAGER-1C059867F8742194AA/"
Chatbot Developer,"Gurgaon, Haryana",Permanent,28/01/2025 2:04:07 PM,"We are seeking a skilled and innovative Chatbot Developer with expertise in Retrieval-Augmented Generation (RAG) architecture to join our Data Science team. This role will involve designing, developing, and implementing chatbots to support our product, engineering, customer service, supply chain, and customer teams. The ideal candidate will have a strong background in software development, data science, and natural language processing (NLP). Key Responsibilities: 1. Chatbot Development: - Design and develop intelligent chatbots using RAG architecture to address the needs of different...  more ->",https://jobserve.com//in/en/find-jobs-in-India/CHATBOT-DEVELOPER-F0AB61E480FCBCC348/
Immediate Joiner Only - Tech Lead MPP/Sr Microsoft Power Platform,Maharashtra,Permanent,28/01/2025 2:04:06 PM,"Tech Lead Microsoft Power Platform Pune/Mumbai Experience - 5 yrs Extensive experience in the Microsoft Power Platform -PowerApps, Power Automate (Flow), Dataverse and Power virtual agents. Experience in analysis, design development, testing and implementation of enterprise scale apps and business processes. Experience developing new PowerApps model and canvas driven apps as well as enhancing existing apps. Understanding PowerApps formulas, Power Automate Expressions, and development methods. Knowledge of Flow licensing and automating business processes with Microsoft Power Automate/Flow....  more ->","https://jobserve.com//in/en/search-jobs-in-Maharashtra,-India/IMMEDIATE-JOINER-ONLY-TECH-LEAD-MPP-SR-MICROSOFT-POWER-PLATFORM-D8002F0FB80B52DCB0/"
Talent Acquisition Executive/Officer,Himachal Pradesh,Permanent,28/01/2025 2:04:08 PM,"Responsibilities: Full-Cycle Recruitment: Manage the end-to-end recruitment process, including job posting, sourcing, screening, interviewing, and onboarding. Sourcing Candidates: Utilize various channels such as job boards, social media, industry networks, and recruitment events to identify potential candidates. Screening and Interviewing: Conduct thorough screening and interviewing processes to ensure candidates meet both the technical and cultural fit requirements. Candidate Experience: Ensure a positive candidate experience throughout the recruitment process by providing timely feedback...  more ->",https://jobserve.com//in/en/find-jobs-in-India/TALENT-ACQUISITION-EXECUTIVE-OFFICER-C4990E7570D4F7262E/
B2C Inside Sales Specialist Edtech Mumbai,"Mumbai, Maharashtra",Permanent,28/01/2025 2:04:05 PM,"Job Title: Academic Counselor - EdTech Student Counseling & Admissions Mumbai Location: Mumbai, India Company: Boston Institute of Analytics Experience : Minimum 1 year in EdTech sales, academic counseling, or a related field Job Description Are you passionate about helping students achieve their educational and career goals? Do you have a knack for guiding students and families through academic programs and admissions processes? The Boston Institute of Analytics (BIA) is looking for a motivated Academic Counselor in Mumbai to join our team. This role is ideal for candidates with excellent...  more ->","https://jobserve.com//in/en/search-jobs-in-Mumbai,-Maharashtra,-India/B2C-INSIDE-SALES-SPECIALIST-EDTECH-MUMBAI-B1A49D8A7985C0557B/"
Franchise Sales Manager,"Kochi, Kerala",Permanent,28/01/2025 2:04:08 PM,"We are seeking an ideal candidate with a robust command of the Malayalam language and a readiness to relocate to our Bangalore office, where they will be stationed primarily. This role demands fluency in Malayalam to effectively engage with stakeholders and contribute to our team's objectives. Key Responsibilities: Sales Presentations: Develop compelling presentations outlining the franchise opportunity, including business model, financial projections, brand value, and operational details to prospective franchisees. Relationship Building: Establish strong relationships with potential...  more ->",https://jobserve.com//in/en/find-jobs-in-India/FRANCHISE-SALES-MANAGER-A46399A86C5CD4074C/
Customer Care Executive,"Mumbai, Maharashtra",Permanent,28/01/2025 2:04:05 PM,"About Armor- In a world where everything is rapidly becoming commoditized, distribution is and will continue to be a powerful competitive advantage. The future of branding belongs to creators, not corporations. At armor, we empower creators to launch game-changing consumer brands, leveraging their influence and reach. We are debuting our first brand in consumer electronics, in collaboration with a creator with over 15 million followers. Join us in reshaping how brands are built and brought to market in the digital age. The company has received funding from prominent founders like Ritesh...  more ->","https://jobserve.com//in/en/search-jobs-in-Mumbai,-Maharashtra,-India/CUSTOMER-CARE-EXECUTIVE-DFE44DE86711D06759/"
Sales Intern,"Gurgaon, Haryana",Permanent,28/01/2025 2:04:05 PM,"Job Title: Sales Intern Job Location: Gurugram, Haryana, India Compensation: 15k iQuanta Overview: iQuanta is India's most trusted CAT coaching platform associated with over 4+ Lakh aspirants. We prepare students for all types of MBA exams like CAT, XAT, NMAT, and SNAP. In 6 years, we have sent over 13000 students to Top B-schools. Job Description: We are seeking a motivated and results-driven Pre Sales Executive to join our dynamic team of iQuanta. The ideal candidate will play a key role in driving sales growth by acquiring new customers, fostering client relationships, and promoting our...  more ->",https://jobserve.com//in/en/find-jobs-in-India/SALES-INTERN-01C2E0217565C9EA45/
Administrative Manager,"Gurgaon, Haryana",Permanent,28/01/2025 2:04:06 PM,"Job responsibilities: Self-motivated, proactive and analytical candidate with Lead by Example attitude. Should exemplify a high degree of subordination, punctuality and honesty. Experienced in event management, organizing, procurement and purchase and should have operational knowledge of all these functions. Should be flexible in terms of timings and should be able to work in a dynamic work environment. Proven work experience as a team member in an administration department. Solid experience with office management systems, ERPs and MS Office. Excellent organizational skills with ability to...  more ->",https://jobserve.com//in/en/find-jobs-in-India/ADMINISTRATIVE-MANAGER-FB5F6F1B5B16A2C88D/
Recruiter,"Vijayawada, Andhra Pradesh",Permanent,28/01/2025 2:04:06 PM,"The ideal candidate will be comfortable meeting new people frequently and have an ability to determine a candidate's potential through clever questions. They should have excellent organizational skills in order to build and maintain a pipeline of prospective candidates. Additionally, they should be committed to both meeting and exceeding assigned quotas. Responsibilities Maintain and develop pipeline of eligible candidates for future open positions Conduct interviews via phone or in-person Calling the profile aprox around 50 to 60 candidate depending the requirement Followup with the...  more ->",https://jobserve.com//in/en/find-jobs-in-India/RECRUITER-05BA304599C5E9B621/
"Admission Counsellor (Sohna Road, Gurugram)","Gurgaon, Haryana",Permanent,28/01/2025 2:04:07 PM,"Position - Admission Counsellor (Sohna Road, Gurugram) Job Responsibilities: Responsible for handling enquiries and getting the enrolments done over the phone/Face to Face. Counselling & providing career guidance to working professionals via phone, face to face, etc. Responsible for resolving queries related to the course offered. Responsible for maintaining day to day reports as required. Well-groomed personality with good Communication, good Computer skills, Calling on cold and hot leads. Making outbound & taking Inbound calls (Must). Candidates from Sales background may also apply....  more ->",https://jobserve.com//in/en/find-jobs-in-India/ADMISSION-COUNSELLOR-SOHNA-ROAD-GURUGRAM-E21301E2A230D425EE/
